;Nazwisko ImiÍ ;Wiek ;ZawÛd/wykszta≥cenie ;Oznaczenie kandydata 
Szczepin;WARULIK TOMASZ PIOTR ;46;WYØSZE ;SZCZEPIN - LUBI  TO 
Tarnogaj;DOBKIEWICZ JADWIGA KRYSTYNA ;65;TECHNIK EKONOMISTA ; 
Tarnogaj;DOBKIEWICZ KRZYSZTOF  ;67;CIEåLA BUDOWLANY ; 
Tarnogaj;G”RAL JANINA KRYSTYNA ;65;EKONOMICZNE ; 
Tarnogaj;HER”D DANUTA TERESA ;64;TECHNIK EKONOMISTA ; 
Tarnogaj;JANCZEWSKI WITOLD  ;60;TECHNOLOG WODY ; 
Tarnogaj;KUCZY—SKI MARCIN MICHA£ ;30;KIEROWCA AUTOBUSU ; 
Tarnogaj;KULA £UKASZ MARIAN ;36;åREDNIE ; 
Tarnogaj;KURAå WALDEMAR  ;67;PALACZ C.O. ; 
Tarnogaj;MENTEL JOLANTA MARIA ;53;WYØSZE EKONOMICZNE ; 
Tarnogaj;MYSZKO TOMASZ ADAM ;30;SPECJALISTA DS. KOMUNIKACJI I MARKETINGU ;PRZYJAZNY TARNOGAJ 
Tarnogaj;PACZKOWSKA IWONA TERESA ;45;NAUCZYCIEL ; 
Tarnogaj;PACZKOWSKI MARCIN  ;46;TECHNIK MECHANIK ; 
Tarnogaj;ROGALI—SKA BARBARA  ;36;MANAGER KSI GOWOåCI FUNDUSZY ;PRZYJAZNY TARNOGAJ 
Tarnogaj;SIEMASZKO BOØENA HELENA ;60;POLICEALNE KSI GOWA ; 
Tarnogaj;SIEMASZKO MIECZYS£AW  ;65;MONTER ; 
Tarnogaj;SIKORSKI MICHA£  ;33;ARCHITEKT ;PRZYJAZNY TARNOGAJ 
Tarnogaj;SOB”TKA RYSZARD  ;62;åREDNIE TECHNICZNE ; 
Tarnogaj;TATYS £UKASZ EMANUEL ;34;INFORMATYK ;PRZYJAZNY TARNOGAJ 
Tarnogaj;URBANIAK MA£GORZATA TERESA ;56;SPRZEDAWCA ; 
Tarnogaj;URBANIAK MAREK ZYGMUNT ;56;MONTER SIECI I INSTALACJI GAZOWEJ ; 
Widawa;BILSKA-MAREK PAULINA KATARZYNA ;33;DOKTOR NAUK SPO£ECZNYCH ;M£ODZI WIDAWA 
Widawa;DUSZA WIES£AW  ;71;EMERYT ; 
Widawa;DYRA MATEUSZ  ;22;STUDENT ;LEPSZA WIDAWA 
Widawa;DZIEDZICKI J”ZEF RYSZARD ;67;EMERYT ; 
Widawa;FEDUNKIW BOGDAN  ;67;EMERYT ; 
Widawa;G£OWA ANNA BARBARA ;34;MANAGER ROZWOJU PRODUKT”W ;M£ODZI WIDAWA 
Widawa;JANIK JOANNA  ;39;KSI GOWA ;M£ODZI WIDAWA 
Widawa;K•CKA AGNIESZKA MARIA ;37;NAUCZYCIEL ;M£ODZI WIDAWA 
Widawa;MAJEWSKI GRZEGORZ PATRYK ;33;TECHNIK MECHANIK ;M£ODZI WIDAWA 
Widawa;MAJEWSKI RYSZARD  ;65;ZAWODOWE ; 
Widawa;MAREK PAWE£ JAN ;32;KIEROWNIK PROJEKT”W IT ;M£ODZI WIDAWA 
Widawa;MIELNICKA KAROLINA AGNIESZKA ;30;SPECJALISTA DS CONTROLLINGU ;M£ODZI WIDAWA 
Widawa;PANOWICZ ALEKSANDRA  ;32;FIZJITERAPEUTA ;M£ODZI WIDAWA 
Widawa;PANOWICZ PAWE£ MARCIN ;34;IT MANAGER ;M£ODZI WIDAWA 
Widawa;PARYØ-ZG£OBICA MARIA MAGDALENA ;36;SPECJALISTA DS ZARZ•DZANIA ZASOBAMI LUDZKIMI ;M£ODZI WIDAWA 
Widawa;R”ØA—SKI MACIEJ PIOTR ;24;PRACOWNIK BANKU, STUDENT ; 
Widawa;SALAMON ADRIANA KATARZYNA ;42;DYREKTOR FINANSOWY ;M£ODZI WIDAWA 
Widawa;SZKODNA DOMINIKA MARTA ;23;åREDNIE ;LEPSZA WIDAWA 
Widawa;WIåNIK KINGA  ;41;NAUCZYCIEL ;M£ODZI WIDAWA 
Widawa;ZIA£A MARCIN £UKASZ ;27;LEKARZ ;M£ODZI WIDAWA 
Widawa;ØAK MATEUSZ DAMIAN ;22;STUDENT ;LEPSZA WIDAWA 
Wojszyce;ADAMCZYK MARZENA BARBARA ;45;WYØSZE ;WOJSZYCE RAZEM 
Wojszyce;BI£AS LEOKADIA KATARZYNA ;83;EKONOMISTA ;BEZPARTYJNY 
Wojszyce;BUDREWICZ-WR”BLEWSKA BARBARA  ;47;WYØSZE ;BEZPARTYJNY 
Wojszyce;CHALAMUS AGNIESZKA DOROTA ;45;RADCA PRAWNY ;WOJSZYCE RAZEM 
Wojszyce;CZARNA ZOFIA  ;74;BIOLOG ;WOJSZYCE RAZEM 
Wojszyce;D£UGOSZ JAN STEFAN ;72;INØYNIER ;WOJSZYCE RAZEM 
Wojszyce;DYJAKON JERZY TADEUSZ ;60;AUTOMATYK ;BEZPARTYJNY 
Wojszyce;DYRKACZ WALDEMAR MARIUSZ ;39;åREDNIE ;WOJSZYCE RAZEM 
Wojszyce;FALKOWSKI PIOTR JERZY ;37;ARCHITEKT ;TOWARZYSTWO UPI KSZANIA MIASTA WROC£AWIA 
Wojszyce;HAREWICZ WALDEMAR ANDRZEJ ;64;åREDNIE TECHNICZNE ;BEZPARTYJNY 
Wojszyce;HERFURT WOJCIECH JERZY ;57;LEKARZ ;WOJSZYCE RAZEM 
Wojszyce;JAMKA SYLWESTER  ;63;WYØSZE TECHNICZNE ;WOJSZYCE RAZEM 
Wojszyce;KILAR PIOTR  ;58;åREDNIE TECHNICZNE ;BEZPARTYJNY 
Wojszyce;KILIAN WIES£AWA  ;65;åREDNIE TECHNICZNE ;BEZPARTYJNY 
Wojszyce;KRZESAJ NATALIA MONIKA ;30;WYØSZE ;WOJSZYCE RAZEM 
Wojszyce;KRZESAJ PIOTR PAWE£ ;54;WYØSZE EKONOMICZNE ;WOJSZYCE RAZEM 
Wojszyce;KRZYØAK EDWARD JERZY ;47;NAUCZYCIEL AKADEMICKI ;ZIELONY WROC£AW 
Wojszyce;KULIK ZYGMUNT  ;73;WYØSZE ;WOJSZYCE RAZEM 
Wojszyce;KWAåNIEWSKA-DYRKACZ AGNIESZKA KATARZYNA ;42;åREDNIE ;WOJSZYCE RAZEM 
Wojszyce;LISIAK MIROS£AWA  ;60;WYØSZE ; 
Wojszyce;LUTY JERZY  ;42;NAUCZYCIEL AKADEMICKI ;ZIELONY WROC£AW 
Wojszyce;MALINOWSKI JERZY KAZIMIERZ ;72;GEODETA ;BEZPARTYJNY 
Wojszyce;MAZUR J”ZEF  ;76;NAUCZYCIEL ;BEZPARTYJNY 
Wojszyce;MOCZULSKA MARTA MA£GORZATA ;41;WYØSZE MUZYCZNE ;WOJSZYCE RAZEM 
Wojszyce;PIECHOCKA JANINA JADWIGA ;70;åREDNIE TECHNICZNE ;BEZPARTYJNY 
Wojszyce;PIECHURKO WANDA ANNA ;72;åREDNIE ;BEZPARTYJNA 
Wojszyce;PISZAK MARIA ANNA ;68;GEODETA ;BEZPARTYJNY 
Wojszyce;SOWA ELØBIETA BARBARA ;60;TECHNIK BUDOWLANY ;BEZPARTYJNY 
Wojszyce;SOWA WOJCIECH MIROS£AW ;61;åREDNIE TECHNICZNE ;BEZPARTYJNY 
Wojszyce;SZYMKIEWICZ MAGDALENA ANNA ;38;WYØSZE EKONOMICZNE ;WOJSZYCE RAZEM 
Wojszyce;åWIDERSKI WOJCIECH ZBIGNIEW ;57;WYØSZE ;WOJSZYCE RAZEM 
Wojszyce;ZAWADA GRAØYNA TERESA ;64;WYØSZE ;BEZPARTYJNY 
Zacisze - Zalesie - Szczytniki;BEDNARZ RENATA JOLANTA ;50;WYØSZE EKONOMICZNE ;ZADBAJMY O SZCZYTNIKI 
Zacisze - Zalesie - Szczytniki;DUDEK-SZUMOWSKA DANUTA MARIA ;63;INØYNIER BUDOWNICTWA ;NASZE OSIEDLE 
Zacisze - Zalesie - Szczytniki;GODLEWSKI MICHA£ JAN ;60;WYØSZE EKONOMICZNE ;ZADBAJMY O SZCZYTNIKI 
Zacisze - Zalesie - Szczytniki;MAURER ROBERT JAROS£AW ;48;POLITOLOG ;NASZE OSIEDLE 
Zacisze - Zalesie - Szczytniki;MUSZY—SKI PAWE£ MARIA ;68;INØYNIER MECHANIK ;NASZE OSIEDLE 
Zacisze - Zalesie - Szczytniki;WYSOCZA—SKA URSZULA  ;54;LEKARZ OKULISTA ;ZADBAJMY O SZCZYTNIKI 
Zacisze - Zalesie - Szczytniki;GOLEMA MARCIN MACIEJ ;42;HISTORYK ;NASZE OSIEDLE 
Zacisze - Zalesie - Szczytniki;JAKUBIEC TOMASZ MAREK ;40;TECHNIK OBS£UGI TURYSTYCZNEJ ; 
Zacisze - Zalesie - Szczytniki;JURNECZKO RAFA£ KRZYSZTOF ;39;POLITOLOG ;NASZE OSIEDLE 
Zacisze - Zalesie - Szczytniki;KMITA J”ZEF ANDRZEJ ;23;STUDENT PRAWA ;NASZE OSIEDLE 
Zacisze - Zalesie - Szczytniki;KMITA PIOTR JAN ;57;ARCHITEKT ;NASZE OSIEDLE 
Zacisze - Zalesie - Szczytniki;POèNIAK EWA KAROLINA ;41;PIEL GNIARKA, POLITOLOG ;NASZE OSIEDLE 
Zacisze - Zalesie - Szczytniki;TYSZKA MAREK  ;51;SPECJALISTA OD TRANSPORTU I OCHRONY ; 
Zacisze - Zalesie - Szczytniki;WERSZLER RAFA£ JERZY ;48;ARTYSTA PLASTYK ;NASZE OSIEDLE 
Zacisze - Zalesie - Szczytniki;ZALEWSKI KRZYSZTOF FELIKS ;64;INØYNIER INFORMATYK ;NASZE OSIEDLE 
Zacisze - Zalesie - Szczytniki;BEDNARZ WALDEMAR  ;51;PRZEDSI BIORCA ;ZADBAJMY O ZALESIE 
Zacisze - Zalesie - Szczytniki;CHODOWANY MAREK ROBERT ;47;PRZEDSI BIORCA ;NASZE OSIEDLE 
Zacisze - Zalesie - Szczytniki;CZARSKI TOMASZ  ;46;PRZEDSI BIORCA ;ZADBAJMY O ZALESIE 
Zacisze - Zalesie - Szczytniki;KSI CIKOWSKI PIOTR JAN ;52;LEKARZ ;NASZE OSIEDLE 
Zacisze - Zalesie - Szczytniki;SOKO£A W£ODZIMIERZ BOLES£AW ;81;DR EKONOMIKI ;ZADBAJMY O ZALESIE 
Zacisze - Zalesie - Szczytniki;TRACZ JOLANTA EWA ;60;PRAWNIK ;ZADBAJMY O ZALESIE 
Zacisze - Zalesie - Szczytniki;WOLSKA AGNIESZKA MONIKA ;31;ARCHITEKT ;TOWARZYSTWO UPI KSZANIA MIASTA WROC£AWIA 
Zacisze - Zalesie - Szczytniki;WYSOCZA—SKI KRZYSZTOF JAN ;54;LEKARZ OKULISTA ;ZADBAJMY O ZALESIE 
Zacisze - Zalesie - Szczytniki;ZIMOCH ADAM RADOS£AW ;33;WYØSZE-EKONOMICZNE ; 
Øerniki;B DKOWSKA KRYSTYNA  ;69;EKONOMISTA ; 
Øerniki;BUDYCH £UKASZ STANIS£AW ;36;EKONOMISTA ; 
Øerniki;DUDEK HALINA  ;69;åREDNIE ; 
Øerniki;FIRLIT EWA LILLA ;65;NAUCZYCIEL ; 
Øerniki;FIRLIT JAROS£AW DARIUSZ ;34;PRAWNIK ; 
Øerniki;GARSTKA MICHA£ PAWE£ ;43;INØYNIER TELEKOMUNIKACJI ; 
Øerniki;IWANEK KAROL TOMASZ ;40;åREDNIE ; 
Øerniki;JANKOWSKA ANNA  ;65;TECHNIK EKONOMISTA ; 
Øerniki;KALINOWSKA-TABAKA AGATA BARBARA ;39;BANKOWIEC ; 
Øerniki;KISIEL DAGMARA MARIA ;38;WYØSZE ; 
Øerniki;KOSMALSKI TOMASZ KRZYSZTOF ;38;WYØSZE ; 
Øerniki;MI DZYBRODZKI MARIUSZ GRZEGORZ ;36;KSI GOWY ; 
Øerniki;OCZKOWSKA HELENA MARIA ;66;ZAWODOWE ; 
Øerniki;PRYJMA J”ZEFA MARIA ;63;PO£OØNA ; 
Øerniki;RACHEL ELØBIETA ALICJA ;70;åREDNIE ; 
Øerniki;RUCHLEWICZ ANNA KATARZYNA ;35;RADCA PRAWNY ; 
Øerniki;RYMASZEWSKA IRENA  ;70;NAUCZYCIEL ; 
Øerniki;SZYMALA MICHA£ WITOLD ;33;INFORMATYK ; 
Øerniki;WAWRO WANDA MA£GORZATA ;43;EKONOMISTA ; 
Øerniki;ZAJ•C ALDONA EMILIA ;37;EKONOMISTA ; 
Øerniki;ØARCZY—SKI MAREK  ;62;åREDNIE ; 
